ZIP,TOTAL POP,DIABETES,HEART DISEASE,POVERTY,FOOD INSECURITY,OBESE (BMI >=30),WHITE,ASIAN,BLACK,OTHER RACE,
91001,27900,8.00%,6.00%,10.60%,4.20%,24.40%,51.10%,6.80%,27.10%,15.00%,
91006,24500,9.70%,6.40%,8.20%,3.40%,18.70%,33.30%,55.90%,0.80%,10.00%,
91007,25500,10.40%,6.60%,10.40%,3.50%,18.70%,30.80%,59.50%,2.00%,7.70%,
91008,1100,8.40%,8.80%,9.40%,1.70%,16.70%,66.00%,24.50%,2.50%,6.90%,
91010,20000,10.60%,5.90%,13.30%,7.60%,28.20%,56.00%,18.50%,8.20%,17.30%,
91011,15200,4.80%,7.20%,3.10%,0.50%,14.40%,68.10%,27.70%,"0,3%",3.90%,
91016,32900,8.40%,5.80%,8.60%,5.60%,25.10%,67.10%,14.30%,7.10%,11.40%,
91020,5200,8.30%,6.90%,10.10%,4.00%,22.60%,67.60%,21.60%,2.30%,8.60%,
91024,9000,5.20%,6.80%,5.80%,0.90%,14.00%,81.70%,11.20%,1.50%,5.60%,
91030,205000,7.10%,6.10%,9.50%,2.90%,19.50%,56.50%,29.90%,3.20%,10.40%,
91040,17900,8.40%,7.40%,13.10%,4.50%,25.40%,82.60%,8.00%,2.20%,7.20%,
91042,22400,8.70%,7.50%,13.10%,5.30%,26.10%,75.20%,1.17%,1.90%,15.20%,
91046,1400,9.70%,10.00%,10.40%,3.40%,24.70%,76.80%,23.20%,0.00%,0.00%,
91101,17200,6.80%,4.70%,21.10%,3.10%,16.70%,57.60%,22.60%,8.20%,11.60%,
91103,22000,9.20%,5.60%,16.00%,8.00%,26.50%,44.20%,7.60%,20.70%,27.40%,
91104,29300,8.20%,6.20%,15.60%,5.20%,25.20%,62.90%,10.40%,11.00%,15.70%,
91105,10800,6.20%,7.00%,8.50%,1.00%,14.50%,69.50%,17.40%,6.10%,7.00%,
91106,19300,6.50%,5.10%,13.80%,3.30%,17.20%,57.10%,23.20%,6.70%,13.00%,
91107,25800,7.40%,6.30%,9.60%,3.20%,20.70%,57.70%,24.80%,6.20%,11.30%,
91108,9900,7.50%,6.70%,6.70%,1.30%,16.60%,39.70%,54.30%,1.10%,4.90%,
91201,18900,7.70%,7.70%,13.40%,4.00%,26.40%,76.60%,10.20%,1.30%,11.90%,
91202,17400,6.60%,7.90%,13.00%,3.40%,21.00%,76.80%,13.40%,1.60%,8.10%,
91203,12300,7.80%,7.60%,12.80%,4.70%,26.20%,70.50%,19.30%,1.00%,9.20%,
91204,14300,8.40%,7.10%,19.40%,5.90%,29.30%,63.80%,18.20%,3.00%,15.00%,
91205,31100,7.60%,7.50%,20.30%,5.10%,26.40%,73.20%,14.20%,2.30%,10.30%,
91206,28400,6.90%,7.90%,14.90%,3.50%,24.20%,73.50%,17.40%,1.00%,8.00%,
91207,10300,7.40%,8.60%,8.20%,2.10%,22.40%,84.10%,8.70%,10.00%,7.20%,
91208,13800,7.40%,8.10%,7.00%,2.50%,22.70%,77.00%,17.60%,0.50%,4.90%,
91210,2100,6.00%,6.80%,20.90%,4.50%,26.30%,74.70%,23.80%,1.50%,0.00%,
91214,25500,7.60%,7.20%,4.70%,2.70%,21.60%,65.00%,28.40%,0.30%,6.20%,
91301,23600,4.90%,6.70%,4.70%,1.80%,17.70%,87.20%,6.50%,2.50%,3.80%,
91302,21000,4.60%,6.80%,8.80%,0.90%,17.70%,83.30%,10.80%,1.20%,4.80%,
91303,22700,8.50%,5.30%,18.90%,10.40%,30.00%,60.10%,11.90%,5.10%,23.00%,
91304,38300,8.30%,6.40%,13.40%,6.60%,26.90%,53.40%,15.30%,4.20%,27.10%,
91306,33400,10.10%,6.30%,12.70%,8.90%,30.30%,45.70%,17.80%,3.60%,32.90%,
91307,18500,6.60%,7.50%,6.20%,1.70%,22.50%,73.20%,15.20%,2.90%,8.70%,
91311,31800,8.10%,7.00%,7.80%,3.70%,24.30%,65.40%,18.10%,4.30%,12.20%,
91316,21300,6.70%,8.20%,13.50%,3.00%,23.10%,82.70%,8.50%,3.10%,5.70%,
91321,26700,8.80%,6.60%,12.30%,8.90%,27.90%,74.30%,8.60%,3.10%,14.10%,
91324,24100,8.10%,6.30%,16.00%,6.10%,24.60%,57.10%,16.40%,7.80%,18.70%,
91325,24100,7.90%,6.50%,17.30%,5.30%,25.50%,58.60%,16.30%,8.50%,16.60%,
91326,28000,7.00%,7.20%,6.50%,"1,8%",20.80%,57.20%,31.80%,3.20%,7.90%,
91331,74700,11.10%,5.00%,17.40%,14.80%,37.30%,58.40%,6.30%,3.90%,31.50%,
91335,59000,10.20%,6.50%,17.80%,9.00%,30.00%,68.20%,12.40%,4.20%,15.10%,
91340,27800,11.40%,5.10%,15.50%,14.60%,38.20%,60.00%,0.90%,2.90%,36.10%,
91342,67000,10.90%,5.40%,13.40%,11.00%,34.70%,71.50%,6.50%,4.10%,17.90%,
91343,46400,9.80%,5.80%,18.30%,10.80%,31.40%,48.80%,14.80%,4.00%,32.40%,
91344,42200,8.50%,6.90%,7.40%,4.10%,25.30%,61.80%,16.20%,3.60%,18.40%,
91345,14100,11.50%,6.30%,10.60%,10.00%,34.70%,56.80%,11.40%,2.10%,29.60%,
91350,23800,6.20%,6.50%,5.50%,2.30%,24.10%,76.80%,9.50%,3.70%,10.00%,
91351,27100,8.70%,5.90%,11.50%,7.40%,30.00%,72.80%,9.40%,3.30%,14.50%,
91352,39300,10.60%,5.70%,16.50%,12.20%,34.00%,75.40%,6.90%,1.80%,15.80%,
91354,18500,5.70%,6.50%,4.80%,1.70%,21.80%,69.90%,17.80%,6.70%,5.60%,
91355,34600,6.40%,6.50%,7.30%,3.00%,21.20%,75.60%,12.90%,2.50%,9.10%,
91356,24300,5.80%,7.70%,10.70%,40.00%,19.90%,78.50%,6.80%,3.10%,11.60%,
91361,12600,5.40%,7.90%,5.80%,0.80%,16.80%,86.50%,6.40%,1.00%,6.10%,
91362,20400,5.50%,6.30%,5.30%,2.10%,17.80%,85.00%,9.40%,1.20%,4.40%,
91364,20900,6.00%,7.90%,7.00%,1.70%,20.10%,80.10%,6.90%,5.30%,7.70%,
91367,33500,6.30%,7.20%,9.90%,2.20%,20.50%,74.00%,14.00%,4.20%,7.70%,
91371,3600,4.60%,4.90%,0.00%,2.00%,18.40%,0.00%,0.00%,0.00%,0.00%,
91381,16800,5.80%,5.40%,6.40%,1.90%,20.70%,70.00%,20.60%,3.60%,5.80%,
91384,23600,5.10%,4.40%,5.30%,4.50%,27.20%,66.50%,7.00%,6.90%,19.60%,
91387,31200,7.70%,5.60%,7.20%,6.30%,27.30%,65.50%,12.60%,6.90%,15.10%,
91390,20600,5.80%,5.90%,5.30%,2.30%,24.60%,79.90%,8.10%,1.80%,10.20%,
91401,51500,8.20%,6.80%,19.00%,7.10%,28.60%,61.00%,6.30%,5.40%,27.30%,
91402,51500,10.30%,5.30%,22.90%,13.60%,34.00%,45.60%,18.70%,3.00%,32.60%,
91403,16900,5.10%,6.60%,7.50%,1.80%,16.10%,82.10%,7.50%,6.10%,4.30%,
91405,36900,9.70%,6.00%,20.60%,10.90%,32.10%,43.90%,8.70%,4.20%,43.20%,
91406,44000,9.10%,5.90%,17.80%,9.90%,30.70%,48.20%,9.00%,5.20%,37.50%,
91411,20600,8.30%,6.10%,18.00%,8.30%,29.10%,72.10%,7.90%,5.50%,14.50%,
91423,25400,5.20%,6.90%,8.10%,2.00%,18.10%,82.50%,6.80%,5.10%,5.50%,
91436,15200,4.90%,8.30%,4.40%,0.40%,13.50%,87.80%,9.40%,1.20%,1.60%,
91501,18800,6.50%,7.10%,14.20%,3.80%,24.10%,76.40%,10.20%,2.90%,10.40%,
91502,9900,7.90%,7.20%,19.10%,5.80%,26.50%,69.90%,10.00%,3.50%,16.60%,
91504,20900,6.80%,6.80%,8.60%,3.90%,24.50%,68.30%,16.70%,2.40%,12.60%,
91505,24800,7.50%,6.50%,10.80%,2.90%,22.00%,72.80%,10.60%,3.30%,13.30%,
91506,15800,8.50%,7.20%,9.20%,3.90%,25.20%,76.70%,10.10%,1.00%,12.20%,
91601,32000,6.10%,5.30%,20.20%,5.90%,25.10%,67.20%,8.20%,8.20%,16.40%,
91602,16300,4.90%,6.00%,10.90%,2.20%,19.20%,76.10%,8.00%,7.40%,8.60%,
91604,24800,4.90%,6.90%,6.40%,1.10%,14.70%,81.80%,7.90%,3.80%,5.50%,
91605,41300,9.60%,5.80%,19.90%,10.50%,31.90%,61.00%,8.50%,3.90%,26.60%,
91606,33900,9.20%,6.30%,18.50%,9.00%,30.40%,63.30%,6.20%,5.30%,25.20%,
91607,24800,5.90%,6.90%,11.60%,4.00%,21.40%,79.50%,6.40%,6.80%,7.40%,
91702,42500,10.20%,4.60%,12.00%,10.00%,32.00%,45.90%,10.40%,2.80%,41.00%,
91706,54800,11.20%,4.70%,13.00%,11.70%,33.10%,35.10%,19.40%,2.00%,43.50%,
91709,38500,9.50%,6.50%,6.50%,4.10%,24.50%,49.40%,32.80%,4.50%,13.30%,
91710,55800,11.10%,6.40%,8.40%,8.50%,31.50%,54.10%,11.20%,5.90%,28.70%,
91711,30600,6.20%,6.10%,7.70%,2.40%,17.70%,69.20%,15.70%,4.60%,10.40%,
91722,26000,10.30%,5.40%,7.60%,8.60%,31.70%,49.40%,11.80%,2.60%,36.20%,
91723,11600,9.40%,5.10%,9.90%,8.20%,29.40%,49.90%,11.20%,5.40%,33.50%,
91724,21900,9.60%,5.90%,8.80%,6.20%,27.70%,56.80%,14.30%,3.80%,25.10%,
91731,23400,10.90%,5.50%,20.00%,11.00%,28.10%,45.00%,33.20%,0.40%,21.40%,
91732,44000,10.50%,5.00%,18.50%,11.50%,29.60%,49.60%,33.10%,0.60%,16.70%,
91733,29900,10.80%,4.70%,18.60%,13.60%,32.50%,56.00%,23.80%,0.20%,19.90%,
91740,20600,8.70%,6.10%,9.80%,5.00%,25.80%,69.10%,10.10%,3.30%,17.50%,
91741,23900,6.30%,5.80%,7.70%,2.40%,19.90%,79.70%,10.50%,1.50%,8.30%,
91744,63300,11.50%,4.80%,12.40%,11.60%,34.00%,42.60%,11.70%,1.60%,44.10%,
91745,39200,11.10%,5.60%,8.20%,6.10%,25.00%,39.90%,42.50%,1.20%,16.40%,
91746,21300,12.10%,4.80%,11.90%,11.50%,35.40%,43.10%,11.70%,1.10%,44.10%,
91748,36200,10.90%,5.70%,11.30%,6.10%,20.10%,24.60%,60.90%,0.80%,13.70%,
91750,27200,7.50%,6.30%,7.40%,3.70%,22.90%,77.50%,7.90%,3.60%,10.90%,
91754,24900,12.00%,6.50%,13.80%,5.90%,21.10%,16.10%,63.20%,50.00%,20.20%,
91755,22100,11.80%,6.50%,16.90%,5.80%,19.60%,14.00%,72.50%,50.00%,13.00%,
91759,<500,n/a,n/,2.50%,n/a,n/a,96.40%,1.10%,1.10%,1.40%,
91765,36400,10.00%,5.60%,5.70%,3.60%,20.00%,29.80%,53.00%,4.70%,12.50%,
91766,51600,9.70%,4.60%,18.10%,12.10%,31.10%,59.40%,13.00%,5.50%,22.00%,
91767,34300,9.60%,4.80%,17.20%,10.50%,32.10%,62.70%,8.90%,9.20%,19.20%,
91768,25800,8.90%,4.30%,18.30%,10.80%,29.70%,47.60%,8.20%,7.80%,36.50%,
91770,47600,11.30%,5.90%,16.80%,7.40%,22.40%,19.40%,61.80%,30.00%,18.50%,
91773,28100,8.40%,6.30%,8.10%,3.90%,23.90%,67.30%,14.40%,3.30%,15.10%,
91775,19000,9.40%,6.30%,8.00%,3.80%,20.20%,34.70%,50.80%,1.10%,13.40%,
91776,29300,10.70%,5.80%,14.40%,6.20%,20.70%,17.60%,65.70%,80.00%,15.90%,
91780,27100,10.70%,6.50%,10.70%,4.80%,20.40%,26.20%,57.20%,1.00%,15.70%,
91789,31700,10.40%,5.60%,7.00%,3.60%,18.70%,26.50%,60.80%,2.50%,10.20%,
91790,33900,10.70%,5.40%,8.10%,8.40%,30.90%,38.80%,22.60%,3.30%,35.40%,
91791,24700,10.70%,5.70%,7.80%,6.60%,26.80%,44.20%,27.70%,5.20%,22.90%,
91792,22100,10.60%,5.20%,12.00%,7.20%,23.90%,25.10%,44.80%,6.50%,23.60%,
91801,41600,9.90%,5.70%,16.20%,6.10%,21.20%,22.30%,53.50%,2.20%,22.00%,
91803,23200,11.50%,5.90%,12.20%,6.70%,22.60%,25.20%,52.20%,90.00%,21.80%,
92397,2400,8.40%,8.40%,12.00%,3.00%,24.80%,97.00%,50.00%,0.00%,2.50%,
92602,23600,9.80%,5.10%,5.30%,5.10%,20.50%,38.83%,48.30%,3.00%,9.90%,
92603,19200,6.60%,5.20%,5.10%,2.40%,16.00%,61.30%,35.50%,0.10%,3.10%,
92604,21000,7.90%,6.40%,9.10%,1.70%,18.60%,59.30%,31.80%,1.60%,7.40%,
92606,21800,8.80%,5.10%,12.80%,4.90%,20.20%,47.40%,42.10%,3.50%,6.00%,
92610,18900,6.40%,4.00%,2.70%,3.20%,19.30%,67.80%,25.80%,1.80%,4.60%,
92612,18600,7.50%,5.80%,27.00%,2.90%,16.00%,55.30%,36.50%,2.20%,6.00%,
92614,21200,7.50%,5.30%,12.90%,4.00%,20.00%,58.60%,35.00%,1.30%,5.00%,
92618,24700,7.90%,5.40%,10.90%,4.20%,19.50%,52.50%,40.60%,1.80%,5.20%,
92620,27600,8.80%,5.80%,7.00%,4.10%,19.90%,41.00%,51.10%,2.50%,5.30%,
92624,4800,8.30%,7.50%,6.60%,2.80%,23.00%,87.40%,2.50%,2.10%,7.90%,
92625,11000,5.40%,8.00%,7.00%,0.50%,12.50%,89.40%,5.20%,0.70%,4.70%,
92626,42700,7.20%,5.50%,9.40%,5.40%,23.00%,73.00%,15.60%,3.30%,8.20%,
92627,48400,8.20%,5.20%,15.70%,8.20%,26.30%,67.90%,4.60%,0.50%,26.90%,
92629,22100,7.10%,7.20%,7.40%,3.00%,21.00%,84.90%,3.50%,0.60%,11.00%,
92630,44800,8.90%,5.90%,8.60%,5.40%,24.80%,69.30%,14.10%,2.40%,14.20%,
92637,13500,12.90%,15.00%,10.80%,70.00%,17.30%,82.00%,16.10%,60.00%,1.20%,
92646,47400,6.60%,6.80%,5.20%,1.60%,19.50%,79.50%,11.50%,1.00%,7.90%,
92647,48700,8.50%,6.10%,12.90%,5.90%,23.90%,71.00%,13.20%,1.60%,14.10%,
92648,38700,6.90%,6.40%,8.20%,3.10%,19.70%,80.30%,10.20%,1.30%,8.30%,
92649,26800,6.90%,7.00%,6.40%,2.00%,19.20%,79.30%,12.80%,0.80%,7.10%,
92653,24000,7.70%,6.40%,7.10%,3.60%,20.90%,71.70%,15.30%,1.10%,11.80%,
92656,38900,6.00%,5.10%,3.70%,2.30%,19.40%,70.70%,16.90%,2.90%,9.50%,
92657,9600,5.10%,5.80%,2.50%,0.60%,13.20%,76.80%,17.90%,0.00%,5.30%,
92675,31000,8.20%,6.40%,12.20%,6.30%,23.40%,73.30%,3.50%,0.20%,23.00%,
92688,35500,6.70%,5.10%,4.70%,3.40%,21.60%,77.10%,14.00%,1.80%,10.00%,
92692,40300,6.50%,6.70%,4.10%,1.80%,18.40%,80.40%,11.00%,1.70%,7.00%,
92704,67800,12.00%,4.70%,14.90%,15.10%,33.50%,47.90%,19.10%,1.10%,31.90%,
92780,42800,9.60%,5.10%,11.50%,9.20%,28.00%,49.10%,16.70%,2.50%,31.70%,
92821,26700,8.70%,5.50%,7.20%,4.10%,22.40%,72.90%,17.90%,1.60%,7.60%,
92823,4000,8.10%,5.20%,8.50%,2.30%,19.70%,50.30%,41.40%,2.40%,5.90%,
92865,150900,10.20%,5.40%,9.20%,6.60%,26.50%,73.10%,13.30%,1.60%,12.10%,
92886,38700,7.20%,6.10%,3.80%,1.80%,19.60%,76.40%,17.30%,0.90%,5.50%,
93243,1300,10.30%,7.20%,10.80%,5.20%,31.40%,78.80%,9.60%,0.00%,11.60%,
93510,6100,8.00%,6.50%,8.00%,4.30%,30.00%,82.20%,1.40%,2.60%,13.80%,
93523,1300,4.80%,4.10%,12.40%,6.50%,25.50%,84.20%,2.00%,7.00%,6.80%,
93532,2000,8.00%,6.20%,18.20%,5.70%,30.20%,92.90%,1.90%,40.00%,4.80%,
93534,26700,10.90%,6.90%,26.00%,11.30%,38.90%,62.10%,4.60%,23.20%,10.10%,
93535,49800,11.40%,5.90%,25.90%,13.00%,40.50%,65.40%,3.30%,20.50%,10.70%,
93536,52400,9.80%,6.10%,12.20%,6.70%,33.30%,70.40%,5.10%,14.30%,10.20%,
93543,9900,12.00%,4.90%,16.60%,15.90%,42.40%,50.20%,1.60%,10.10%,38.10%,
93544,800,n/a,n/a,1.10%,n/a,n/a,87.50%,0.00%,2.20%,10.40%,
93550,46500,12.20%,5.60%,26.40%,17.80%,40.60%,41.20%,2.90%,12.70%,43.20%,
93551,42400,9.50%,6.30%,7.00%,6.20%,32.80%,62.10%,8.40%,10.00%,19.50%,
93552,23800,13.50%,5.60%,12.70%,15.20%,41.20%,42.00%,4.30%,13.20%,40.60%,
93553,5400,10.40%,6.40%,8.40%,10.20%,37.70%,76.70%,0.00%,3.60%,19.70%,
93560,14500,10.70%,6.40%,12.30%,9.70%,37.10%,68.40%,4.30%,10.70%,16.70%,
93563,<500,n/a,n/a,9.80%,n/a,n/a,72.60%,0.00%,10.30%,17.10%,
93591,4900,11.40%,5.30%,26.80%,13.20%,40.60%,49.80%,1.20%,10.70%,38.20%,
California,29390200,9.70%,6.40%,13.70%,7.00%,28.00%,62.60%,14.70%,5.90%,16.70%,
Los Angeles County,7708000,9.50%,5.60%,15.30%,8.40%,28.90%,53.60%,15.50%,85.00%,22.50%,
Orange County,2436700,8.90%,5.70%,11.00%,6.60%,23.90%,64.40%,20.10%,1.70%,13.80%,