ZIP,TOTAL POP,DIABETES,HEART DISEASE,POVERTY,FOOD INSECURITY,OBESE (BMI >=30),WHITE,ASIAN,BLACK,OTHER RACE,Latitude,Longitude
90001,42900,11.60%,4.00%,26.60%,19.10%,42.00%,35.70%,0.20%,10.00%,54.00%,33.973951,-118.248405
90002,39700,11.70%,4.10%,28.50%,21.90%,41.80%,35.90%,0.70%,24.70%,38.70%,33.950514,-118.245855
90003,43200,11.50%,4.00%,30.00%,21.90%,41.40%,27.00%,0.30%,24.40%,48.30%,33.949164,-118.273156
90004,47600,10.00%,5.30%,18.10%,9.70%,28.70%,40.80%,27.40%,4.40%,27.40%,34.076198,-118.310723
90005,30400,9.00%,4.80%,24.50%,14.20%,23.70%,19.80%,37.10%,5.50%,37.60%,34.059163,-118.306892
90006,38100,12.00%,5.00%,3.83%,18.00%,31.70%,21.90%,22.00%,0.50%,52.40%,34.048042,-118.294177
90007,33300,7.70%,3.40%,40.30%,13.80%,25.70%,32.00%,23.20%,10.40%,34.40%,34.028133,-118.284828
90008,25300,11.10%,5.40%,19.80%,9.90%,34.60%,14.80%,38.00%,70.10%,11.30%,34.009552,-118.346724
90010,7800,7.90%,5.40%,16.30%,6.20%,29.40%,19.00%,68.90%,5.90%,6.30%,34.062148,-118.315889
90011,73500,11.40%,3.80%,32.50%,23.90%,44.20%,36.10%,0.70%,9.80%,53.40%,34.00709,-118.258681
90012,25600,8.30%,4.80%,20.90%,5.70%,24.40%,30.20%,40.40%,13.80%,15.60%,34.065875,-118.238728
90013,17200,9.00%,n/a,45.70%,2.20%,19.20%,37.00%,16.70%,30.60%,15.70%,34.045406,-118.240454
90014,2900,n/a,n/a,39.50%,1.70%,19.60%,51.00%,14.80%,18.40%,15.80%,34.043146,-118.251746
90015,17200,10.10%,4.30%,34.00%,14.80%,28.90%,35.30%,18.10%,7.50%,39.00%,34.039378,-118.266299
90016,37700,1160.00%,4.90%,19.10%,12.70%,35.30%,34.60%,3.90%,37.20%,24.30%,34.028332,-118.354338
90017,23100,7.50%,4.40%,40.40%,20.20%,20.40%,34.70%,18.20%,6.20%,40.90%,34.052913,-118.26434
90018,38100,12.40%,4.90%,22.30%,15.60%,36.80%,19.50%,4.90%,35.10%,40.50%,34.028887,-118.317183
90019,48000,11.10%,5.70%,17.80%,9.60%,30.80%,35.20%,17.80%,20.90%,16.10%,34.049841,-118.33846
90020,26500,8.50%,5.00%,16.40%,8.20%,24.10%,28.10%,49.20%,5.60%,17.10%,34.06638,-118.30987
90021,3100,8.60%,4.70%,50.50%,8.80%,33.40%,35.80%,3.40%,27.00%,33.80%,34.029036,-118.23787
90022,46200,12.00%,4.30%,20.10%,10.80%,39.10%,60.00%,0.33%,0.30%,38.40%,34.023728,-118.156275
90023,33400,12.40%,4.50%,22.90%,14.50%,40.00%,62.60%,1.00%,1.10%,35.30%,34.022502,-118.199613
90024,32500,5.20%,5.00%,26.80%,0.20%,23.90%,59.80%,29.10%,1.90%,9.20%,34.065729,-118.434999
90025,36000,6.00%,4.90%,13.00%,0.60%,13.80%,64.00%,21.10%,3.20%,11.70%,34.04536,-118.445818
90026,56700,8.50%,4.90%,19.60%,8.90%,27.90%,56.20%,18.90%,3.70%,21.30%,34.080017,-118.262643
90027,36100,6.60%,6.00%,16.30%,3.00%,21.20%,67.70%,13.80%,3.10%,15.40%,34.127194,-118.295647
90028,28600,6.90%,4.90%,25.60%,5.00%,25.10%,58.70%,83.00%,8.60%,24.50%,34.099912,-118.326912
90029,30700,9.90%,5.60%,34.20%,11.20%,30.90%,41.50%,18.40%,2.50%,37.60%,34.089848,-118.294661
90031,29600,12.60%,5.40%,23.80%,12.40%,32.00%,37.60%,26.00%,0.90%,35.50%,34.085807,-118.206617
90032,33700,12.40%,5.00%,19.70%,12.50%,32.80%,45.20%,11.20%,1.70%,41.90%,34.078195,-118.185497
90033,34000,12.90%,4.80%,30.40%,17.00%,39.30%,66.00%,6.20%,1.30%,26.50%,34.05038,-118.211991
90034,49600,6.30%,3.50%,14.30%,1.80%,18.10%,60.60%,18.90%,9.90%,10.60%,34.030578,-118.399613
90035,22800,6.30%,6.40%,12.10%,1.90%,17.90%,73.30%,8.40%,8.10%,10.10%,34.051809,-118.383674
90036,31100,6.40%,5.10%,14.50%,1.50%,15.20%,68.00%,17.60%,5.10%,9.30%,34.07041,-118.350411
90037,46900,11.90%,4.10%,35.30%,22.60%,41.30%,26.50%,1.30%,21.80%,50.40%,34.002723,-118.287487
90038,22800,8.40%,5.00%,26.50%,10.10%,29.00%,44.10%,5.80%,6.70%,43.30%,34.088475,-118.325527
90039,23100,9.50%,6.10%,9.20%,5.60%,24.70%,58.20%,20.30%,2.40%,19.10%,34.111525,-118.260552
90040,10500,12.80%,4.50%,16.10%,8.50%,40.20%,75.50%,1.20%,1.00%,22.30%,33.990863,-118.153153
90041,21500,9.30%,6.10%,10.10%,5.10%,24.70%,53.00%,29.20%,1.60%,16.20%,34.137412,-118.207607
90042,47000,11.60%,5.20%,18.10%,10.80%,31.70%,47.50%,14.50%,3.10%,34.90%,34.114708,-118.192098
90043,35300,12.50%,5.60%,18.40%,10.00%,36.60%,17.60%,1.40%,63.80%,17.20%,33.988505,-118.336358
90044,71200,11.60%,4.60%,30.50%,18.90%,39.40%,22.50%,0.60%,39.60%,37.30%,33.938108,-118.285706
90045,31500,5.90%,5.40%,10.50%,1.10%,14.90%,60.60%,14.70%,13.00%,11.80%,33.942108,-118.417488
90046,43300,6.60%,5.80%,14.90%,1.20%,16.80%,79.60%,5.90%,4.50%,10.00%,34.108455,-118.362081
90047,38800,12.60%,5.60%,18.20%,11.70%,37.40%,16.40%,0.70%,66.80%,16.10%,33.953617,-118.308429
90048,20400,5.60%,6.30%,9.50%,1.00%,18.40%,80.10%,10.10%,2.70%,7.10%,34.072924,-118.37271
90049,30200,4.70%,6.30%,7.10%,0.20%,10.70%,85.70%,9.30%,1.10%,4.00%,34.091829,-118.491244
90056,6800,10.80%,6.10%,5.50%,2.00%,29.30%,18.20%,3.40%,73.50%,4.90%,33.988047,-118.370361
90057,32300,9.40%,4.80%,30.00%,19.50%,25.70%,27.20%,22.60%,5.10%,45.10%,34.061735,-118.276757
90058,2200,11.40%,4.30%,59.80%,13.80%,42.10%,45.80%,5.30%,12.00%,36.90%,33.999433,-118.213255
90059,27300,11.30%,4.30%,29.80%,20.10%,41.30%,36.90%,0.80%,33.10%,29.30%,33.921065,-118.244955
90061,19800,11.70%,4.40%,27.10%,18.70%,38.60%,31.40%,0.30%,38.40%,29.90%,33.920965,-118.275356
90062,25400,12.30%,4.70%,22.50%,19.10%,38.40%,17.50%,1.30%,35.90%,45.20%,34.003638,-118.308806
90063,39400,11.70%,4.30%,21.70%,11.10%,38.20%,42.00%,1.80%,0.70%,55.50%,34.045105,-118.185914
90064,23600,6.40%,6.50%,8.80%,0.50%,13.50%,71.70%,18.70%,1.33%,5.30%,34.037252,-118.423573
90065,36300,11.80%,5.90%,16.80%,10.10%,31.80%,53.20%,17.50%,2.30%,27.00%,34.112272,-118.225496
90066,45500,6.90%,5.70%,10.70%,1.10%,18.60%,62.40%,15.60%,3.90%,18.10%,34.002028,-118.430657
90067,2400,6.80%,11.80%,7.00%,0.10%,9.80%,79.90%,17.20%,0.30%,2.60%,34.057597,-118.413998
90068,21400,5.20%,5.80%,12.50%,1.00%,16.70%,80.00%,7.40%,3.20%,9.30%,34.129772,-118.330989
90069,19200,6.40%,5.90%,10.30%,n/a,16.30%,78.00%,6.20%,5.00%,1.11%,34.093828,-118.381697
90071,2500,15.70%,7.40%,0.00%,n/a,10.20%,0.00%,0.00%,0.00%,0.00%,34.052876,-118.254943
90073,700,n/a,n/a,48.00%,n/a,n/a,49.90%,6.20%,36.30%,7.50%,34.054533,-118.45703
90077,8300,5.50%,7.60%,3.70%,0.10%,12.00%,84.30%,10.30%,2.60%,2.80%,34.108537,-118.457081
90079,1300,8.50%,2.90%,0.00%,n/a,18.50%,0.00%,0.00%,0.00%,0.00%,34.040587,-118.255404
90089,3200,n/a,n/a,0.40%,n/a,n/a,48.60%,34.00%,5.40%,12.00%,34.020221,-118.286035
90094,8100,4.80%,4.10%,12.60%,0.50%,16.00%,52.50%,26.30%,14.60%,6.60%,33.975416,-118.416989
90095,8200,n/a,n/a,0.00%,n/a,n/a,0.00%,0.00%,0.00%,0.00%,34.071312,-118.443545
90201,71600,11.80%,4.20%,23.60%,10.60%,41.90%,70.70%,1.10%,1.10%,27.10%,33.976663,-118.168903
90210,18100,6.10%,8.40%,10.30%,1.00%,16.30%,85.80%,8.80%,1.50%,3.90%,34.10263,-118.415972
90211,6600,6.70%,6.90%,11.30%,1.70%,8.50%,82.20%,11.60%,1.40%,4.90%,34.064958,-118.382979
90212,10300,5.70%,6.60%,9.00%,0.70%,13.50%,84.40%,6.80%,1.20%,7.60%,34.06221,-118.401966
90220,36400,11.80%,4.60%,17.80%,16.30%,39.10%,31.20%,1.60%,41.20%,25.90%,33.874815,-118.240208
90221,39300,12.00%,4.10%,23.60%,20.80%,40.90%,42.40%,0.80%,23.30%,33.40%,33.879565,-118.21681
90222,24300,12.20%,4.40%,24.50%,20.40%,41.50%,37.90%,0.70%,29.60%,31.80%,33.909915,-118.235654
90230,24700,8.30%,5.80%,10.20%,1.50%,20.20%,63.70%,17.10%,8.60%,10.60%,33.998214,-118.394059
90232,14700,7.60%,6.00%,9.10%,1.40%,18.20%,68.50%,16.80%,7.20%,7.50%,34.019323,-118.391902
90240,19000,1210.00%,530.00%,540.00%,510.00%,3820.00%,7050.00%,1070.00%,250.00%,1620.00%,33.955729,-118.118346
90241,32600,1170.00%,500.00%,970.00%,640.00%,3620.00%,6750.00%,770.00%,320.00%,2160.00%,33.939164,-118.125851
90242,34100,1140.00%,470.00%,1220.00%,790.00%,3930.00%,6120.00%,660.00%,540.00%,2680.00%,33.922714,-118.139969
90245,14400,11.40%,4.70%,12.20%,7.90%,39.30%,61.20%,7.40%,5.40%,26.80%,33.91918,-118.41647
90247,34800,12.10%,5.80%,16.40%,12.70%,33.00%,34.40%,28.50%,19.10%,27.90%,33.888315,-118.295256
90248,8000,13.30%,6.50%,10.80%,10.10%,30.20%,30.50%,35.70%,15.70%,18.00%,33.876482,-118.284077
90249,20200,125.00%,6.10%,0.90%,10.20%,34.50%,26.10%,17.00%,30.50%,26.40%,33.90139,-118.315697
90250,7600,10.90%,5.20%,15.70%,13.40%,36.20%,38.50%,7.60%,22.00%,31.80%,33.914775,-118.348083
90254,17500,4.20%,5.80%,4.40%,1.30%,17.50%,88.60%,5.50%,1.50%,4.40%,33.86224,-118.39952
90255,53800,12.20%,4.20%,22.20%,10.40%,41.30%,66.30%,0.90%,0.70%,32.10%,33.977987,-118.213137
90260,28500,11.50%,5.30%,13.50%,13.80%,34.90%,50.00%,13.60%,8.10%,28.20%,33.88856,-118.351813
90262,50400,12.70%,4.00%,18.20%,22.30%,42.50%,55.20%,1.00%,10.40%,33.40%,33.924538,-118.202954
90263,3300,3.40%,2.60%,0.00%,n/a,5.60%,54.20%,29.90%,3.80%,12.10%,34.039034,-118.707992
90265,19300,4.30%,5.50%,9.00%,0.30%,10.70%,87.80%,5.40%,2.00%,4.90%,34.066117,-118.846342
90266,29000,4.50%,6.90%,3.90%,0.70%,15.20%,82.50%,10.60%,1.00%,6.00%,33.889151,-118.402127
90270,19100,11.80%,4.10%,21.20%,11.00%,41.60%,81.60%,0.10%,0.50%,17.80%,33.988463,-118.187376
90272,201000,4.50%,7.30%,4.10%,n/a,9.30%,88.80%,6.10%,1.10%,3.90%,34.04806,-118.52647
90274,19700,5.70%,9.20%,4.70%,0.60%,14.80%,70.00%,23.90%,1.60%,4.50%,33.77085,-118.37868
90275,36200,8.00%,8.00%,4.40%,1.70%,20.10%,64.30%,26.80%,2.10%,6.80%,33.753146,-118.367459
90277,31800,6.10%,6.80%,5.90%,1.90%,19.40%,81.40%,9.20%,2.00%,7.40%,33.830006,-118.387124
90278,32800,7.00%,6.40%,5.70%,2.90%,24.30%,71.30%,15.30%,3.30%,10.10%,33.873214,-118.370359
90280,69400,12.20%,4.20%,17.20%,13.30%,39.40%,58.50%,0.60%,1.10%,39.80%,33.937714,-118.193403
90290,5300,4.60%,6.30%,4.60%,0.50%,14.70%,91.90%,3.70%,1.60%,2.90%,34.08927,-118.60436
90291,25400,5.30%,5.10%,10.60%,0.60%,13.60%,82.90%,4.40%,4.80%,7.90%,33.993396,-118.465193
90292,20800,6.50%,6.40%,13.10%,0.40%,14.50%,79.80%,8.30%,5.50%,6.40%,33.979007,-118.457852
90293,12400,5.70%,5.80%,6.90%,0.30%,14.30%,70.10%,12.50%,5.40%,12.00%,33.947305,-118.439841
90301,29200,12.10%,5.20%,17.50%,15.80%,36.80%,29.70%,1.60%,32.90%,35.80%,33.956526,-118.358654
90302,23200,11.70%,5.30%,17.50%,12.50%,35.90%,30.70%,1.40%,48.90%,19.10%,33.975332,-118.355252
90303,20600,11.70%,5.00%,21.80%,15.60%,38.10%,25.00%,1.10%,39.50%,34.40%,33.939766,-118.331085
90304,19500,11.80%,4.50%,26.10%,22.40%,40.40%,41.60%,2.50%,4.60%,51.30%,33.937887,-118.358559
90305,10600,12.10%,6.50%,9.30%,7.10%,36.00%,12.80%,1.40%,77.10%,8.70%,33.95889,-118.330548
90401,7000,6.80%,4.90%,12.70%,n/a,10.50%,77.10%,10.10%,7.50%,5.40%,34.013666,-118.49375
90402,10900,4.80%,7.60%,7.20%,0.10%,9.80%,89.30%,7.10%,1.00%,2.60%,34.034666,-118.504039
90403,21400,5.20%,6.00%,9.70%,0.20%,12.10%,83.40%,8.70%,2.10%,5.80%,34.030755,-118.492101
90404,19700,6.70%,5.30%,15.00%,0.90%,17.20%,69.60%,13.60%,6.40%,10.10%,34.026608,-118.473643
90405,23900,5.80%,6.20%,11.80%,0.40%,14.40%,79.40%,10.00%,3.40%,7.10%,34.011167,-118.46963
90501,33700,10.60%,5.90%,11.70%,9.90%,29.00%,43.60%,26.20%,5.20%,25.00%,33.835665,-118.303805
90502,15900,12.50%,6.60%,10.60%,9.80%,30.50%,35.20%,37.20%,9.10%,18.50%,33.833816,-118.293405
90503,37800,8.50%,6.80%,8.00%,4.30%,23.10%,50.70%,38.00%,2.60%,8.70%,33.840399,-118.353714
90504,27200,10.50%,6.50%,8.30%,6.40%,25.80%,41.70%,39.00%,3.30%,16.00%,33.867257,-118.330794
90505,29600,8.60%,7.20%,5.40%,3.30%,22.30%,57.20%,33.60%,2.10%,7.10%,33.807882,-118.347957
90601,27100,11.20%,5.10%,10.70%,6.40%,32.80%,54.70%,7.20%,1.50%,36.60%,34.004311,-118.0441
90602,18200,10.70%,5.00%,13.70%,6.30%,34.00%,52.60%,4.30%,2.30%,40.80%,33.971839,-118.036578
90603,15600,9.50%,5.70%,6.60%,2.50%,31.30%,69.70%,5.50%,1.20%,23.60%,33.947372,-117.995297
90604,30600,11.10%,5.10%,10.40%,5.40%,37.90%,62.70%,5.80%,0.90%,30.60%,33.932663,-118.009085
90605,29700,11.90%,4.80%,12.00%,5.60%,38.60%,58.50%,4.20%,1.20%,36.10%,33.950295,-118.024352
90606,26400,12.80%,4.80%,9.40%,6.80%,40.40%,49.50%,2.60%,80.00%,47.10%,33.977272,-118.066363
90620,40500,11.50%,5.80%,8.00%,7.70%,26.80%,59.80%,30.10%,2.10%,8.10%,33.846302,-118.012225
90621,25300,10.70%,5.10%,18.00%,11.60%,26.00%,49.30%,32.00%,3.90%,14.80%,33.874224,-117.993368
90623,12100,11.70%,6.40%,6.20%,4.90%,22.40%,40.80%,47.80%,5.70%,5.80%,33.8464,-118.04673
90630,36100,9.70%,6.00%,6.20%,4.30%,22.70%,58.70%,30.20%,4.20%,6.90%,33.81696,-118.03729
90631,53500,10.70%,5.60%,10.60%,8.90%,28.60%,64.40%,13.80%,1.20%,20.60%,33.942708,-117.952483
90638,38500,990.00%,5.70%,7.00%,3.00%,28.10%,58.60%,6.67%,2.00%,19.10%,33.900863,-118.007297
90640,47500,12.40%,5.10%,12.70%,7.80%,33.80%,63.00%,14.60%,1.30%,21.10%,34.00946,-118.10535
90650,77800,11.80%,4.90%,12.50%,6.20%,37.70%,53.10%,15.30%,4.80%,26.80%,33.906763,-118.076549
90660,48300,13.50%,4.80%,10.80%,7.10%,41.00%,55.40%,3.20%,1.00%,40.40%,33.985812,-118.088787
90670,12700,12.70%,5.10%,9.90%,5.50%,38.90%,59.30%,8.40%,3.50%,28.90%,33.927063,-118.063698
90680,19900,11.60%,5.60%,16.70%,10.80%,27.40%,54.60%,28.10%,2.50%,14.80%,33.80252,-117.99312
90701,12800,11.20%,6.00%,13.10%,4.40%,9.00%,38.20%,41.30%,1.80%,18.70%,33.865395,-118.073148
90703,38600,10.90%,6.30%,5.30%,1.80%,22.30%,25.20%,60.00%,7.90%,6.90%,33.866914,-118.068648
90704,3700,7.30%,5.10%,10.50%,10.70%,33.40%,79.60%,0.40%,0.30%,19.70%,33.34281,-118.32785
90706,57700,10.60%,5.10%,14.70%,5.70%,35.70%,36.80%,15.00%,13.60%,34.50%,33.888014,-118.12965
90710,21800,11.70%,6.30%,13.40%,9.80%,31.20%,41.40%,21.40%,12.10%,25.10%,33.79002,-118.29785
90712,23900,9.50%,5.90%,5.90%,2.30%,29.50%,55.40%,15.80%,8.90%,19.90%,33.845624,-118.14645
90713,2200,7.90%,6.00%,4.60%,1.60%,28.40%,70.40%,12.30%,3.60%,13.80%,33.850465,-118.109399
90715,16500,10.50%,5.10%,11.70%,4.90%,31.20%,36.00%,31.20%,8.30%,24.50%,33.840565,-118.078748
90716,9000,11.70%,4.60%,26.00%,8.20%,37.10%,41.90%,15.80%,4.40%,37.90%,33.830967,-118.072796
90717,16300,10.60%,6.70%,12.20%,8.20%,29.90%,61.60%,16.70%,4.10%,17.60%,33.79224,-118.31507
90720,20200,7.20%,6.40%,6.40%,2.70%,20.00%,75.50%,12.30%,2.40%,9.80%,33.795012,-118.062692
90723,39800,12.00%,4.30%,18.00%,18.20%,39.20%,55.90%,3.10%,9.40%,31.60%,33.899015,-118.165152
90731,46600,10.30%,5.90%,17.10%,11.50%,32.70%,61.70%,5.50%,8.00%,24.90%,33.753088,-118.253053
90732,20300,9.90%,8.00%,5.30%,4.80%,27.90%,72.40%,10.70%,3.30%,13.60%,33.74212,-118.312878
90740,19900,8.30%,9.80%,8.30%,1.00%,17.00%,83.30%,9.10%,1.10%,5.90%,33.74141,-118.10479
90742,1200,6.30%,6.60%,5.20%,1.60%,14.00%,89.10%,5.20%,0.00%,5.70%,33.71641,-118.06895
90743,1200,6.30%,6.30%,21.60%,1.60%,14.00%,79.00%,0.00%,1.50%,19.50%,33.726516,-118.090327
90744,38800,12.30%,4.80%,20.80%,20.30%,40.60%,58.50%,2.90%,2.00%,36.20%,33.779417,-118.253853
90745,42200,12.50%,6.00%,10.30%,11.20%,31.20%,32.10%,37.90%,6.80%,23.10%,33.813317,-118.261154
90746,21700,12.90%,6.10%,7.80%,7.80%,35.60%,16.50%,8.80%,58.60%,16.00%,33.859716,-118.255204
90747,2700,9.70%,4.50%,0.00%,5.80%,29.20%,0.00%,0.00%,0.00%,0.00%,33.8629,-118.251319
90755,9000,9.70%,5.60%,10.30%,3.50%,27.40%,60.00%,22.20%,10.60%,7.30%,33.803448,-118.168135
90802,35000,7.40%,5.20%,22.00%,7.10%,29.50%,59.70%,9.40%,16.90%,13.90%,33.756024,-118.201101
90803,30600,6.00%,7.00%,8.60%,2.20%,19.60%,83.10%,6.50%,3.90%,6.40%,33.759885,-118.13016
90804,30300,8.10%,4.80%,22.30%,10.80%,30.80%,63.80%,12.80%,12.40%,11.00%,33.785666,-118.135699
90805,69200,11.10%,5.00%,19.60%,14.40%,37.20%,32.80%,12.20%,20.20%,34.80%,33.864617,-118.180567
90806,31700,10.90%,5.10%,22.00%,12.60%,32.20%,42.10%,20.40%,16.90%,20.60%,33.80564,-118.188597
90807,26700,9.60%,6.50%,6.90%,4.80%,28.20%,49.10%,17.20%,15.70%,18.10%,33.831466,-118.181102
90808,31500,6.70%,6.80%,5.10%,1.70%,24.80%,75.70%,9.60%,5.20%,9.50%,33.823943,-118.111336
90810,31000,11.80%,5.60%,15.80%,13.30%,34.80%,37.30%,25.80%,12.60%,24.30%,33.819266,-118.232453
90813,41600,10.00%,4.70%,28.60%,18.20%,35.90%,48.00%,16.90%,12.00%,23.10%,33.780017,-118.183701
90814,15600,6.10%,5.70%,14.30%,6.10%,24.50%,73.20%,8.30%,8.60%,9.90%,33.771301,-118.142654
90815,34000,6.30%,6.30%,12.50%,2.50%,23.00%,73.50%,13.10%,4.70%,8.60%,33.793516,-118.114612
90831,2900,7.30%,4.40%,0.00%,2.50%,19.90%,0.00%,0.00%,0.00%,0.00%,33.767817,-118.199401
